date,gold_sentiment,gold_news_count
2025-03-11,0.0,1
2025-03-14,0.0,2
2025-03-20,0.0,1
2025-03-24,0.0,2
2025-03-27,0.0,2
2025-03-29,0.0,1
2025-04-01,0.0,1
2025-04-07,0.0,2
2025-04-09,0.0,1
2025-04-10,0.0,1
2025-04-14,0.0,1
2025-04-16,0.0,3
2025-04-22,0.0,2
2025-04-28,0.0,1
2025-05-02,0.0,1
2025-05-05,0.0,2
2025-05-07,0.0,3
2025-05-15,0.0,1
2025-05-16,0.0,1
2025-05-18,0.0,1
2025-05-21,0.0,2
2025-05-22,0.0,1
2025-05-27,0.0,1
2025-05-29,0.0,2
2025-06-04,0.0,2
2025-06-07,0.0,1
2025-06-12,0.0,1
2025-06-16,0.0,2
2025-06-17,0.0,2
2025-06-19,0.0,1
2025-06-24,0.0,1
2025-06-25,0.0,1
2025-06-26,0.0,1
2025-07-07,0.0,3
2025-07-09,0.0,1
2025-07-11,0.0,1
2025-07-14,0.0,1
2025-07-15,0.0,1
2025-07-16,0.0,2
2025-07-23,0.0,1
2025-07-24,0.0,1
2025-07-28,0.0,1
2025-07-29,0.0,1
2025-07-31,0.0,1
2025-08-02,0.0,1
2025-08-05,0.0,2
2025-08-09,0.0,1
2025-08-14,0.0,1
2025-08-15,0.0,1
2025-08-17,0.0,1
2025-08-19,0.0,1
2025-08-21,0.0,2
2025-08-27,0.0,2
2025-08-30,0.0,1
2025-09-02,0.0,1
2025-09-04,0.0,2
2025-09-09,0.0,1
2025-09-11,0.0,1
2025-09-12,0.0,1
2025-09-18,0.0,1
2025-09-19,0.0,1
2025-09-22,0.0,1
2025-09-23,0.0,1
2025-09-24,0.0,1
2025-09-29,0.0,1
2025-09-30,0.0,2
2025-10-06,0.0,1
2025-10-10,0.0,2
2025-10-12,0.0,1
2025-10-14,0.0,1
2025-10-16,0.0,1
2025-10-19,0.0,1
2025-10-22,0.0,1
2025-10-23,0.0,1
2025-10-24,0.0,1
2025-10-28,0.0,1
2025-10-29,0.0,1
2025-11-03,0.0,1
2025-11-04,0.0,1
2025-11-06,0.0,2
2025-11-11,0.0,1
2025-11-12,0.0,2
2025-11-18,0.0,2
2025-11-21,0.0,1
2025-11-25,0.0,1
2025-11-26,0.0,1
2025-11-28,0.0,1
2025-12-02,0.0,1
2025-12-03,0.0,1
2025-12-08,0.0,1
2025-12-11,0.0,3
2025-12-16,0.0,1
2025-12-22,0.0,2
2025-12-24,0.0,1
2025-12-29,0.0,2
2025-12-30,0.0,1
2025-12-31,0.0,1
2026-01-04,0.0,1
2026-01-07,0.0,1
2026-01-09,0.0,1
2026-01-12,0.0,1
2026-01-14,0.0,1
2026-01-17,0.0,1
2026-01-18,0.0,1
2026-01-20,0.0,1
2026-01-22,0.0,1
2026-01-23,0.0,1
2026-01-28,0.0,1
2026-01-29,0.0,1
2026-02-02,0.0,1
2026-02-05,0.0,2
2026-02-06,0.0,1
2026-02-10,0.0,1
2026-02-12,0.0,2
2026-02-17,0.0,2
2026-02-19,0.0,1
2026-02-24,0.0,1
2026-02-27,0.0,1
2026-03-02,0.0,1
